Price,Date
1.536,2015-08-14
1.376,2016-01-09
1.564,2018-03-26
1.577,2018-03-27
1.577,2018-03-28
1.577,2018-03-28
1.577,2018-03-29
1.577,2018-03-29
1.577,2018-03-30
1.577,2018-03-30
1.577,2018-03-31
1.577,2018-03-31
1.577,2018-04-01
1.577,2018-04-01
1.577,2018-04-02
1.577,2018-04-02
1.591,2018-04-03
1.591,2018-04-04
1.591,2018-04-04
1.591,2018-04-05
1.591,2018-04-05
1.591,2018-04-06
1.591,2018-04-06
1.591,2018-04-06
1.591,2018-04-07
1.591,2018-04-07
1.591,2018-04-07
1.591,2018-04-07
1.591,2018-04-07
1.591,2018-04-07
1.591,2018-04-08
1.591,2018-04-08
1.591,2018-04-09
1.591,2018-04-09
1.587,2018-04-10
1.582,2018-04-11
1.582,2018-04-12
1.582,2018-04-12
1.582,2018-04-13
1.582,2018-04-13
1.582,2018-04-14
1.582,2018-04-14
1.582,2018-04-15
1.582,2018-04-15
1.582,2018-04-16
1.582,2018-04-16
1.594,2018-04-17
1.597,2018-04-18
1.597,2018-04-19
1.597,2018-04-19
1.597,2018-04-20
1.597,2018-04-20
1.597,2018-04-21
1.597,2018-04-21
1.597,2018-04-22
1.597,2018-04-22
1.597,2018-04-23
1.597,2018-04-23
1.602,2018-04-24
1.606,2018-04-25
1.606,2018-04-26
1.606,2018-04-26
1.606,2018-04-27
1.606,2018-04-27
1.606,2018-04-28
1.606,2018-04-28
1.606,2018-04-29
1.606,2018-04-29
1.606,2018-04-30
1.606,2018-04-30
1.626,2018-05-01
1.626,2018-05-02
1.626,2018-05-02
1.626,2018-05-03
1.626,2018-05-03
1.626,2018-05-04
1.626,2018-05-04
1.626,2018-05-05
1.626,2018-05-05
1.626,2018-05-06
1.626,2018-05-06
1.626,2018-05-07
1.626,2018-05-07
1.627,2018-05-08
1.629,2018-05-09
1.629,2018-05-10
1.629,2018-05-10
1.629,2018-05-11
1.629,2018-05-11
1.629,2018-05-12
1.629,2018-05-12
1.629,2018-05-13
1.629,2018-05-13
1.629,2018-05-14
1.629,2018-05-14
1.651,2018-05-15
1.651,2018-05-16
1.651,2018-05-16
1.651,2018-05-17
1.651,2018-05-17
1.651,2018-05-18
1.651,2018-05-18
1.651,2018-05-19
1.651,2018-05-19
1.651,2018-05-20
1.651,2018-05-20
1.651,2018-05-21
1.651,2018-05-21
1.674,2018-05-22
1.676,2018-05-23
1.676,2018-05-24
1.676,2018-05-24
1.676,2018-05-25
1.676,2018-05-25
1.676,2018-05-26
1.676,2018-05-26
1.676,2018-05-27
1.676,2018-05-27
1.676,2018-05-28
1.676,2018-05-28
1.686,2018-05-29
1.686,2018-05-30
1.686,2018-05-30
1.686,2018-05-31
1.686,2018-05-31
1.686,2018-06-01
1.686,2018-06-01
1.686,2018-06-02
1.686,2018-06-02
1.686,2018-06-03
1.686,2018-06-03
1.681,2018-06-04
1.671,2018-06-05
1.671,2018-06-06
1.671,2018-06-06
1.671,2018-06-07
1.671,2018-06-07
1.671,2018-06-08
1.671,2018-06-08
1.671,2018-06-09
1.671,2018-06-09
1.671,2018-06-10
1.671,2018-06-10
1.657,2018-06-11
1.651,2018-06-12
1.651,2018-06-12
1.651,2018-06-13
1.651,2018-06-13
1.651,2018-06-14
1.651,2018-06-14
1.651,2018-06-15
1.651,2018-06-15
1.651,2018-06-16
1.651,2018-06-16
1.651,2018-06-17
1.651,2018-06-17
1.651,2018-06-18
1.651,2018-06-19
1.651,2018-06-20
1.651,2018-06-21
1.651,2018-06-22
1.651,2018-06-23
1.641,2018-06-24
1.641,2018-06-25
1.641,2018-06-26
1.641,2018-06-27
1.641,2018-06-28
1.641,2018-06-30
1.641,2018-06-30
1.641,2018-06-30
1.651,2018-07-03
1.661,2018-07-12
1.661,2018-07-16
1.661,2018-07-16
1.671,2018-08-04
1.672,2018-08-06
1.679,2018-08-11
1.672,2018-08-13
1.666,2018-08-18
1.669,2018-08-28
1.671,2018-08-31
1.652,2018-10-01
1.682,2018-10-14
1.617,2018-11-01
1.507,2018-12-15
1.506,2018-12-19
1.506,2018-12-20
1.477,2019-01-15
1.477,2019-01-16
1.491,2019-01-27
1.527,2019-03-14
1.547,2019-03-19
1.547,2019-03-23
1.547,2019-03-23
1.599,2019-04-01
1.616,2019-04-14
1.636,2019-04-16
1.661,2019-05-11
1.642,2019-05-19
1.666,2019-05-23
1.647,2019-06-06
1.647,2019-06-08
1.566,2019-06-13
1.566,2019-06-15
1.567,2019-06-18
1.569,2019-06-24
1.569,2019-06-26
1.582,2019-06-26
1.617,2019-07-01
1.617,2019-07-17
1.602,2019-07-18
1.602,2019-07-26
1.604,2019-07-28
1.604,2019-07-29
1.604,2019-07-30
1.604,2019-08-01
1.604,2019-08-02
1.609,2019-08-03
1.609,2019-08-06
1.552,2019-08-08
1.557,2019-08-18
1.557,2019-08-20
1.559,2019-08-21
1.562,2019-09-01
1.591,2019-09-03
1.591,2019-09-05
1.562,2019-09-05
1.562,2019-09-09
1.591,2019-09-09
1.591,2019-09-10
1.561,2019-09-10
1.591,2019-09-12
1.591,2019-09-13
1.559,2019-09-15
1.591,2019-09-17
1.591,2019-09-20
1.591,2019-09-22
1.577,2019-09-29
1.577,2019-10-01
1.577,2019-10-02
1.577,2019-10-03
1.572,2019-10-04
1.571,2019-10-07
1.571,2019-10-08
1.564,2019-10-13
1.556,2019-10-20
1.549,2019-10-22
1.549,2019-10-26
1.556,2019-10-27
1.559,2019-10-28
1.572,2019-11-01
1.572,2019-11-05
1.572,2019-11-06
1.581,2019-11-08
1.581,2019-11-14
1.581,2019-11-16
1.576,2019-11-17
1.569,2019-11-19
1.569,2019-11-20
1.569,2019-11-21
1.569,2019-11-24
1.567,2019-11-25
1.566,2019-11-26
1.566,2019-11-30
1.581,2019-12-03
1.581,2019-12-04
1.581,2019-12-05
1.581,2019-12-08
1.564,2019-12-13
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-18
1.569,2019-12-21
1.569,2019-12-22
1.576,2019-12-23
1.579,2019-12-28
1.579,2019-12-29
1.586,2019-12-30
1.589,2019-12-31
1.589,2020-01-01
1.632,2020-01-03
1.634,2020-01-06
1.631,2020-01-07
1.631,2020-01-10
1.631,2020-01-10
1.631,2020-01-12
1.626,2020-01-13
1.624,2020-01-16
1.624,2020-01-17
1.624,2020-01-18
1.614,2020-01-26
1.607,2020-01-28
1.607,2020-01-31
1.584,2020-02-06
1.584,2020-02-08
1.584,2020-02-09
1.581,2020-02-15
1.581,2020-02-15
1.584,2020-02-21
1.584,2020-02-23
1.611,2020-02-25
1.571,2020-03-02
1.557,2020-03-03
1.557,2020-03-04
1.422,2020-03-07
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-10
1.422,2020-03-13
1.422,2020-03-13
1.421,2020-03-16
1.352,2020-03-27
1.346,2020-03-31
1.342,2020-04-07
1.331,2020-05-04
1.332,2020-05-05
1.332,2020-05-06
1.332,2020-05-06
1.332,2020-05-07
1.332,2020-05-07
1.332,2020-05-08
1.332,2020-05-08
1.332,2020-05-09
1.332,2020-05-09
1.332,2020-05-10
1.332,2020-05-10
1.361,2020-05-12
1.424,2020-06-01
1.424,2020-06-02
1.462,2020-06-12
1.621,2021-03-01
1.627,2021-03-07
1.627,2021-03-07
1.627,2021-03-11
1.771,2021-08-21
1.864,2022-02-08
2.046,2022-04-17
2.046,2022-04-20
2.014,2022-05-10
